Contributer's Twitter,Name,Address,City,State,Postcode,lat,long,Country,Wifi Password,Outlets,Couch,Large Table,Brewing,Outdoor Seating,hexcolor
h0ke,Arbor Cafe,4210 Telegraph Ave,Oakland,CA,,37.831142,-122.263568,USA,wonder woman,yes,yes,yes,Bicycle,yes,#B9FCFC
jllord,Awaken Cafe,1429 Broadway,Oakland,Ca,,37.80467532,-122.2711315,USA,happyhour (unavailable Wednesday – Saturday),yes,yes,yes,Four Barrel,,#B9FCFC
h0ke,Brown Couch Cafe,340 14th Street,Oakland,CA,,37.80344,-122.268548,USA,browncouchFTW,yes,yes,no,,yes,#B9FCFC
maxogden,Cafe 3016,3016 Macarthur Blvd,Oakland,CA,,37.7972,-122.20461,USA,their phone #,yes,no,no,Wrecking Ball Coffee,sidewalk,#B9FCFF
h0ke,Farley's East,33 Grand Ave,Oakland,CA,,37.811537,-122.266086,USA,farleyscoffee,yes,yes,yes,,yes,#B9FCFC
jllord,Haddon Hill Cafe,504 Wesley Ave,Oakland,CA,,37.8049159,-122.2488474,USA,haddon10,yes,no,yes,Sight Glass,yes,#B9FCFC
wa7son,Paludan Bog & Café,Fiolstræde 10,Copenhagen,Danmark,1171,55.68036,12.57326,DK,cafepaludan,Yes,No,Yes,"Coffee, Tea",Yes,#FF69B4
maxogden,Pate Pate,Slagterboderne 1,Copenhagen,Danmark,1716,55.66914,12.55862,DK,DonCarlos,Yes,No,Yes,Espresso,Yes,#FF69B4
dmcclccam,Cafeteria Morelli,"Rua Antonio Carlos Nogueira, 537",Cosmópolis,SP,13150-000,-22.645421,-47.198012,Brazil,cafeteria,yes,yes,yes,"Coffee, espresso, Beer",yes,#CBBEB5
maxogden,Hive,2139 MacArthur Blvd,Oakland,CA,,37.800324,-122.216492,USA,theplacetobee,yes,yes,no,Highwire,no,#B9FCFC
duggan,3FE,,Dublin,Ireland,,53.34064,-6.2419,Ireland,flatwhite,,no,yes,Hasbean,yes,#00B26E
maxogden,Roasted Brown,"Filmbase, Curved Street, Temple Bar",Dublin,Ireland,,53.34481312,-6.2647071,Ireland,yes,yes,possibly,yes,"pourovers, espresso",no,#00B26E
h0ke,Nomad Cafe,6500 Shattuck Ave,Oakland,CA,,37.850486,-122.265677,USA,nomad6500,yes,no,no,,yes,#dc6e2e
adstiles,Oakland City Hall,1 Frank Ogawa Plaza,Oakland,CA,,37.805278,-122.2725,USA,public (no pwd),yes,no,yes,,no,#915C11
kuakeli,Aschan,Elimäentie 17,Helsinki,FI,500,60.194972,24.9481,Finland,,,,,,,#915C11
thomaslevine,Peralta Hacienda Historical Park,2465 34th Ave,Oakland,CA,,37.787144,-122.217468,USA,386F0c55c76d480293a6bb5094,,,,,yes,#B9FCFC
jllord,SubRosa Coffee,419 40th Street,Oakland,CA,,37.8283586,-122.2604838,USA,n/a,yes,no,no,Four Barrel,yes,#B9FCFC
thomaslevine,Sudo Room,4799 Shattuck Ave,Oakland,CA,,37.835004,-122.264125,USA,open,yes,yes,yes,Club-mate,no,#B9FCFC
jllord,Sweet Bar Bakery,2355 Broadway,Oakland,CA,,37.81292227,-122.2660118,USA,cupcakes,yes,no,yes,,yes,#B9FCFC
h0ke,Tribu,6501 San Pablo Ave,Oakland,CA,,37.848202,-122.285651,USA,,yes,yes,no,,yes,#dc6e2e
koalahamlet,Bazaar Cafe,5951 California St,San Francisco,CA,94121,37.783928,-122.481262,USA,ask for code,Yes,Yes,Yes,"Coffee, Tea, sake smoothies","Yes, a beautiful garden",#FFA319
thomaslevine,Bordelands Cafe,870 Valencia St,San Francisco,CA,,37.759031,-122.42151,USA,open,yes,?,?,coffee,no,#B9FCFC
smk,Cafe Bello,2885 Diamond St,San Francisco,CA,94131,37.73382,-122.434031,USA,latteart,yes,yes,no,...just drink the tea.,no,#915C11
,Cafe Sophie,3463 16th St,San Francisco,CA,94114,37.764222,-122.429939,USA,,Yes,No,No,,Small tables,#4B0082
meghanhade,Coffee Bar,1890 Bryant St (Entry on Florida & Mariposa),San Francisco,CA,94110,37.763137,-122.411031,USA,No password,yes,yes,yes,"Mr. Espresso beans, tea, cold-pressed juice, beer",yes,#FF0066
conradirwin,Contraband Coffee,1415 Larkin St,San Francisco,CA,94109,37.791084,-122.419265,USA,,yes,no,yes,Own Coffee,yes,#fc6e51
koalahamlet,Darwin Cafe,212 Ritch St,San Francisco,CA,94107,37.780566,-122.396167,USA,darwincafe,"yes, at the bar",no,no,"espresso, drip",yes,#4B0082
solidspark,Epicenter Cafe,764 Harrison St,San Francisco,CA,,37.7817678,-122.398421,USA,Ask for code,Yes,Yes,No,Barefoot,Yes,#B9FCFC
dmojdehi,Farley's Portrero,1315 18th Street,San Francisco,CA,94107,37.76248,-122.39598,USA,,Yes,no,yes,very good,pocket park in front,#B78DF2
koalahamlet,fifty/fifty,3157 Geary Blvd,San Francisco,CA,94118,37.781526,-122.452993,USA,marshmallow,Yes,No,No,Ritual,No,#0040FF
sfrdmn,Haus Coffee,3086 24th St,San Francisco,CA,,37.752532,-122.413799,USA,n/a,yes,one,yes,Ritual,yes,#B9FCFC
dmojdehi,Maxfield's House of Caffeine,398 Dolores St,San Francisco,CA,94110,37.76359,-122.42649,USA,maxcoffee or coffeemax,Yes,Yes,Yes,decent,Yes,#B9FCFF
sfrdmn,Noisebridge,2169 Mission St,San Francisco,CA,,37.762372,-122.419161,USA,Open,yes,yes,yes,BYOC,possibly,#B9FCFC
kriesse,Progressive Grounds,2301 Bryant Street,San Francisco,CA,,37.757477,-122.409301,USA,Open,Yes,No,Yes,,No,#B9FCFC
drk,Ritual,1026 Valencia St,San Francisco,CA,,37.756501,-122.421146,USA,No Wifi,yes,yes,yes,Ritual,no,#B9FCFC
mchambaud,Café Différance,449 Viger Ave W,Montreal,QC,H2Z 1G6,45.5025428,-73.5626909,Canada,Free Wifi,Yes,No,No,Parallel,No,#B9FCFC
mchambaud,Café Myriade,1432 Mackay St,Montreal,QC,H3G 2H7,45.4962343,-73.578175,Canada,Free Wifi,Yes,No,No,,,#B9FCFC
mchambaud,Café Myriade II,251 Saint-Viateur W,Montreal,QC,H2V 1Y1,45.5228897,-73.6016021,Canada,Free Wifi,No,No,No,Parallel,Yes (bench),#B9FCFC
mchambaud,Humble Lion,904 Sherbrooke W,Montreal,QC,H3A 3R8,45.5033579,-73.5748509,Canada,Free Wifi,Yes,No,No,,,#B9FCFC
mchambaud,Rustique,4615 Notre-Dame W,Montreal,QC,H4C 1S5,45.473495,-73.588132,Canada,,No,No,No,,No,#B9FCFC
mchambaud,Café Saint Henri,3632 Notre-Dame W,Montreal,QC,H4C 1P6,45.4795061,-73.5811348,Canada,Free Wifi,Yes,no,no,,no,#B9FCFC
mchambaud,Pikolo,3418 Avenue du Parc,Montreal,QC,,45.5085811,-73.5717478,Canada,Free Wifi,Yes,No,No,,Yes (bench),#B9FCFC
mchambaud,Falco,5605 Avenue de Gaspé,Montreal,QC,,45.5282112,-73.5979808,Canada,Free Wifi,Yes,Yes,Yes,,No,#B9FCFC
mchambaud,Kitsuné Espresso Bar,19 Prince-Arthur West,Montreal,QC,,45.5135699,-73.5729282,Canada,Free Wifi,Yes,No,Yes,,No,#B9FCFC
mchambaud,Le Couteau,4627 Rue Saint Denis,Montreal,QC,H2J 2L4,45.5247621,-73.5846167,Canada,Free Wifi,Yes,Yes,Yes,,Yes,#B9FCFC
mchambaud,Lili & Oli,2515 Rue Notre-Dame West,Montreal,QC,,45.4827922,-73.5754471,Canada,Free Wifi,,,,,No,#B9FCFC
koalahamlet,Sextant Coffee Roasters,1415 Folsom St,San Francisco,CA,94103,37.772442,-122.412922,USA,Roasters,Next to the Bathroom,No,No,"Coffee, Tea",Yes,#F2C319
solidspark,Sightglass Coffee,270 7th St,San Francisco,CA,,37.7770883,-122.4084674,USA,N/A,no,no,yes,Sightglass,no,#B9FCFC
koalahamlet,Simple Pleasures Cafe,3434 Balboa St,San Francisco,CA,94121,37.775947,-122.495815,USA,ask for code,Yes,Yes,Yes,"Coffe, Tea","Yes, a large outdoor patio",#FF0000
smk,Stable,2128 Folsom St,San Francisco,CA,94110,37.763271,-122.415261,USA,listed inside,no,no,no,,yes,#915C11
hughskennedy,Stanza Coffee,3126 16th St,San Francisco,CA,94103,37.765024,-122.422629,USA,Pork Shop / ilovebacon,Yes,Yes,Yes,"Coffee, Tea, Cakes",Yes,
,Steins,731 Clement street,San Francisco,CA,94118,37.782633,-122.467189,USA,spaten1904,yes,no,yes,Good german beer,no,#00FF40
kriesse,Sugarlump,2862 24th Street,San Francisco,CA,,37.752858,-122.409594,USA,sugarlump,Yes,Yes,Yes,,Yes,#B9FCFC
kevinflo,Workshop Cafe,180 Montgomery St #100,San Francisco,CA,94104,37.790799,-122.402087,USA,Free Wifi,yes,Yes,Yes,,No,#B9FCFC
koalahamlet,YakiniQ Cafe,1640 Post St,San Francisco,CA,94115,37.785858,-122.428855,USA,sweetpotatohome,Yes,Yes,Yes,"matcha latte, sweet potato latte, uzu tea",No,#9900CC
mistermarco,Coupa Cafe,473 Via Ortega,Stanford,CA,,37.428183,-122.175525,USA,n/a,yes,yes,yes,Coupa,yes,#B9FCFF
zekeweeks,Alleycat Coffee House,120 W Laurel St,Fort Collins,CO,,40.5786752,-105.0781662,USA,n/a,yes,yes,yes,Jackie's Java,yes,#B9FCFC
turfgrrl,Fat Cat Pie Co.,9-11 Wall Street,Norwalk,CT,6850,41.117597,-73.407897,USA,open,yes,no,yes,fair trade coffee,no,#b9fcff
rachelober,Ebenezer's Coffeehouse,201 F Street NE,Washington,DC,,38.897104,-77.003288,USA,listed inside,yes,no,no,One Village Coffee,,#B9FCFF
lukehefson,Taylor Street,28 Queen's Road,Brighton,East Sussex,BN1 3XA,50.82577,-0.142729,UK,guestespresso,yes,no,yes,,yes,#915C11
pat_metzdorf,Starbucks,50 -51 Western Road,Hove,East Sussex,BN3 1JD,50.8259,-0.160922,UK,No password,Yes,No,Yes,The usual,Yes,#915C11
jllord,Panther Coffee,2390 NW 2nd Ave,Miami,FL,,25.80000217,-80.19915367,USA,espresso,yes,no,yes,In-house,yes,#B9FCFC
colemanm,Genaro Coffee,1047 Central Ave,St. Petersburg,FL,33705,27.771355,-82.64937,USA,,yes,yes,yes,"Coffee, espresso",yes,
colemanm,Kahwa Café,204 2nd Ave S,St. Petersburg,FL,,27.769297,-82.635805,USA,goodcoffee,yes,yes,yes,"Coffee, espresso",yes,
colemanm,Kahwa Espresso Bar,475 2nd St N,St. Petersburg,FL,,27.777406,-82.635402,USA,,yes,no,no,"Coffee, espresso",yes,
tschmiedeke,Oxford Exchange,420 W. Kennedy Blvd,Tampa,FL,,27.945488,-82.46467,USA,Open,Yes,No,No,,No,#148a6c
jllord,Dancing Goats Coffee Bar,650 North Ave,Atlanta,Ga,,33.771331,-84.367394,USA,openopen,yes,"yes, swings!",no,Batdorf & Bronson Coffee,yes,#B9FCFC
samwgoldman,Capital One 360 Cafe,1958 Kalakaua Ave,Honolulu,HI,,37.788727,-122.403853,USA,ask for code,yes,yes,yes,,yes,#B9FCFF
stevenklise,Big Shoulders Coffee,1105 W Chicago Ave,Chicago,IL,60642,41.896257,-87.655168,USA,,yes,no,yes,Roasted In-house,no,#dc6e2e
fioritto,Bridgeport Coffeehouse: Hyde Park,5030 S. Cornell Avenue,Chicago,IL,,41.804457,-87.586509,USA,listed inside,yes,no,no,local coffee,no,#B9FCFF
rsefer,Eva's Cafe,1447 N Sedgwick St,Chicago,IL,60610,41.908989,-87.638184,USA,Must purchase for password,Yes,No,Yes,Roasted in-house,Yes,#B78DF2
stevenklise,Lovely,1130 N Milwaukee Ave,Chicago,IL,60622,41.902064,-87.664968,USA,"free wifi, no password",yes,no,yes,,yes,#dc6e2e
stevenklise,Swim Cafe,1357 W Chicago Ave,Chicago,IL,60642,41.896142,-87.66166,USA,,,,yes,Counter Culture,,#dc6e2e
_achalv,Flying Machine Coffee,208 W. Main St.,Urbana,IL,61801,40.112709,-88.209325,USA,Free Wifi,Yes,Yes,Yes,,No,#915C11
spraints,SoHo Cafe & Gallery,620 South Rangeline Rd,Carmel,IN,46032,39.972341,-86.129127,USA,,Yes,yes,yes,,yes,#915C11
apoorvsgaur,Greyhouse Coffee and Supply Co.,100 Northwestern Ave,West Lafayette,IN,47906,40.423962,-86.907948,USA,,yes,yes,yes,All kinds of Coffee,Yes,
tgs2315,Quill's Coffee,930 Baxter Avenue,Louisville,KY,40204,38.241455,-85.725715,USA,Ask for password,Yes,yes,yes,Roasted in-house,no,#dc6e2e
miguelparada,Café Universal,"San Andrés, 1",La Coruña,La Coruña,,43.371289,-8.400585,SP,n/a,yes,yes,yes,Awesome,yes,#B9FCFF
substack,A Outra Face Da Lua,Rua Assunção 22,Lisbon,Lisbon,,38.711898,-9.136712,PT,20203030,yes,no,yes,,yes,#915C11
FlorianZemke,Mainframe,Bahnhofsplatz 10,Oldenburg,Lower Saxony,26122,53.14383,8.220847,Germany,,yes,yes,yes,"Coffee, Club Mate",no,
cwmma,Block 11,11 Bow St,Somerville,MA,,42.380881,-71.096974,USA,,yes,yes,,Intelligentsia,,#B9FCFC
eli_oat,A&B Naturals,101 Cottage Street,Bar Harbor,ME,4609,44.388922,-68.212108,USA,101abhealthy,yes,no,yes,"local coffee, and a bunch of snacks",Yes,#B78DF2
eli_oat,Morning Glory Bakery,39 Roddick Street,Bar Harbor,ME,4609,44.388782,-68.206552,USA,listed inside,yes,no,yes,"local coffee, and many backed goods",yes,#B78DF2
kevinflo,Common Roots,2558 Lyndale Ave S,Minneapolis,MN,55405,44.955713,-93.288042,USA,Free Wifi,Yes,No,No,,No,#B9FCFC
kevinflo,Hard Times Cafe,1821 Riverside Ave,Minneapolis,MN,55454,44.969538,-93.246116,USA,Free Wifi,No,No,Yes,,No,#B9FCFC
tknomad,Mad Hatter's,1802 W Main St,Durham,NC,27705,36.006428,-78.920165,USA,open,yes (plenty),no,yes,Counter Culture,yes,#dc6e2e
hughskennedy,KOKO,Oudezijds Achterburgwal 145,Amsterdam,Noord-Holland,1012 DG,52.370216,4.895168,Netherlands,Ask when ordering (not available on weekends),Yes,Yes,Yes,Coffee,No,
hughskennedy,Two for Joy,,Amsterdam,Noord-Holland,,52.384193,4.88468,Netherlands,12345678,yes,yes,yes,,yes,
digifireblast,Dominie's,34-07 30th Avenue,Astoria,NY,,40.765794,-73.918506,USA,ask for code,yes,no,no,,no,#B9FCFF
digifireblast,New York City Bagel & Coffee House,29-08 23rd Ave,Astoria,NY,,40.774702,-73.91381,USA,nycbch2908,yes,no,no,,no,#B9FCFF
thomaslevine,61 Local,61 Bergen St,Brooklyn,NY,,40.687147,-73.990846,USA,61meowmeow,few,,,,no,#B9FCFC
robbykraft,Annex,753 Fulton St,Brooklyn,NY,11217,40.686569,-73.974638,USA,annex753,Yes,Yes,Yes,"Coffee, Tea, Alcohol",Yes,
jedschmidt,Bacchus Cafe,409 Atlantic Ave,Brooklyn,NY,,40.686904,-73.984377,USA,Check the chalkboard,Yes,No,Yes,,No,#B9FCFC
willsommers,Brooklyn Roasting Company,25 Jay St,Brooklyn,NY,,40.704619,-73.9864,USA,ask for code,yes,yes,yes,Own,yes,#B9FCFF
stevenklise,Cafe Grumpy,193 Meserole Ave,Brooklyn,NY,11222,40.728632,-73.948731,USA,no password,yes,no,yes,Roasted in-house,no,#dc6e2e
thomaslevine,El Beit,158 Bedford Ave,Brooklyn,NY,,40.718529,-73.956847,USA,brooklyn,few,no,no,?,yes,#B9FCFC
robbykraft,Hungry Ghost,253 Flatbush Ave,Brooklyn,NY,11217,40.68037,-73.974445,USA,FRIDAY13,Yes,,Yes,"Coffee, Tea",No,
robbykraft,Konditori,687 Manhattan Ave,Brooklyn,NY,11222,40.725108,-73.951717,USA,nameless687,Yes,No,Yes,"Coffee, Tea",No,
robbykraft,Little Skips,941 Willoughby Ave,Brooklyn,NY,11221,40.697654,-73.93122,USA,#welovelittleskips,No,No,No,Coffee,Yes,
robbykraft,Milk and Pull,181 Irving Ave,Brooklyn,NY,11237,40.702087,-73.91947,USA,ask,Yes,No,No,Coffee,No,
ahhrrr,Oslo Coffee Roasters,133 Roebling St,Brooklyn,NY,,40.7129065,-73.9569035,USA,Ask for code,yes,no,yes,Oslo,yes,#B9FCFC
robbykraft,Outpost,1014 Fulton St,Brooklyn,NY,11238,40.68194,-73.960219,USA,DRINK14ME,,Yes,,"Coffee, Alcohol",Yes,
,Kreuzberg CA,685 higeura St,San Luis Obispo,CA,,35.278672,-120.664758,Canada,3 hr tickets,yes,yes,yes,in house,yes,#B9FCFF
robbykraft,The Civil Service Café,279 Nostrand Ave,Brooklyn,NY,11216,40.689268,-73.951054,USA,fishtown,Yes,No,Yes,"Coffee, Tea",No,
robbykraft,Variety Coffee Roasters,146 Wyckoff Ave,Brooklyn,NY,11237,40.702721,-73.917013,USA,no password,Yes,No,Yes,In-House,No,
eethann,CoLab Hive,141 The Commons,Ithaca,NY,14850,42.439552,-76.498098,USA,ask!,yes,yes,yes,"Drip, French Press",No,
lsirivong,Gimme! Coffee,506 W State St,Ithaca,NY,14850,42.439495,-76.506426,USA,open,yes,no,yes,"Espresso, Coffee, Tea",Yes,#d41c2a
thomaslevine,Palmer Pharmacy,131 E Green St #2,Ithaca,NY,,42.438565,-76.497406,USA,open,one,no,no,ice cream and fancy soda,yes,#B9FCFC
lsirivong,The Shop,312 E Seneca St,Ithaca,NY,14850,42.440767,-76.495044,USA,CoffeeTime,yes,no,no,"Espresso, Coffee, Tea",No,#ebae03
robbykraft,Coffee Foundry,186 W 4th St,New York,NY,10014,40.732628,-74.002161,USA,coffeefoundry,Yes,No,No,"Coffee, Tea",No,
robbykraft,Grounded,28 Jane St,New York,NY,10014,40.738026,-74.00343,USA,grounded22,Yes,Yes,No,"Coffee, Tea",No,
robbykraft,La Maison du Croque Monsieur,17 E 13th St,New York,NY,10003,40.734999,-73.993005,USA,2126752227,Yes,No,No,Coffee,No,
stevenklise,Stumptown,30 W 8th Street,New York,NY,10011,40.73277,-73.997988,USA,yes?,,,yes,Stumptown,no,#dc6e2e
robbykraft,Stumptown Ace Hotel,20 W 29th St,New York,NY,10001,40.74571,-73.988238,USA,no password,Yes,Yes,Yes,In-House,No,
reidab,Albina Press,5012 SE Hawthorne Blvd,Portland,OR,,45.511932,-122.611221,USA,Open,yes,yes,4-top,Stumptown,yes,#148a6c
jp00p,Backspace (closed!),115 NW 5th Ave,Portland,OR,,45.524064,-122.675578,USA,Changes daily,yes,yes,yes,,Yes,#B9FCFC
reidab,Ford Food + Drink,2505 SE 11th Ave,Portland,OR,,45.504681,-122.654851,USA,Open,yes,yes,yes,Stumptown,kinda,#fbb659
_polymetis_,Northwood,815 Bloor St W,Toronto,ON,,43.662604,-79.422155,Canada,ChristiePits,yes,no,no,"Coffee, Tea, and Tea Cocktails",no,#B9FCFC
spectralnischay,Panera Bread,322 Yonge Street,Toronto,ON,M5B 1R8,43.657491,-79.381664,Canada,Free wifi,Yes,No,No,"Coffee, Tea",No,#B79DF3
gringogidget,Lit Espresso,221 Roncesvalles Ave,Toronto,Ontario,M6R 2L6,43.645822,-79.44875,Canada,Free WiFi,Yes,No,Yes,Counter Culture,Yes,#915C11
gringogidget,The Common,1028 Bloor St W,Toronto,Ontario,M6H 1M2,43.66085,-79.431408,Canada,Free Wifi,Yes,No,Yes,Counter Culture,A bench,#915C11
gringogidget,CSI Cofee Pub,720 Bathurst St,Toronto,Ontario,M5S 2R4,43.663295,-79.410598,Canada,ask for code,Yes,Yes,Yes,Counter Culture,No,#915C11
gringogidget,Extra Butter,283 Roncesvalles Ave,Toronto,Ontario,M6R 2M3,43.647517,-79.449383,Canada,Free Wifi,Yes,No,Yes,Counter Culture,A bench,#915C11
isaac32767,Lucky Labrador Brewing Company,915 SE Hawthorne Blvd.,Portland,OR,,45.512344,-122.656419,USA,Open,yes,no,yes,,yes,#000000
hadrienjouet,Benny's,2505 W Broadway,Vancouver,BC,,49.264119,-123.162715,Canada,creamcheese123,yes,yes,yes,,yes,#B9FCFC
hadrienjouet,Calhoun's,3035 W Broadway,Vancouver,BC,,49.264224,-123.172868,Canada,3hrs tickets,yes,no,yes,,yes,#B9FCFC
rozap_,Harvest Deli,2963 W Broadway,Vancouver,BC,V6K 2G9,49.264162,-123.17176,Canada,ask for code,yes,no,yes,no,no,#facade
darthloucks,Storm Crow Tavern,1305 Commercial Drive,Vancouver,BC,,49.272931,-123.069462,Canada,n/a,,no,yes,1d6 teas,no,#B9FCFC
forivall,Breka Bakery,6533 Fraser Street,Vancouver,BC,V5X 3T3,49.225139,-123.090966,Canada,"""Breka"" (iirc. ask.)",Yes,Yes,No,,Yes,#5F3324
gx,Revolver Coffee,325 Cambie St,Vancouver,BC,V6B 2N4,49.282903,-123.109411,Canada,"SSID ""Middle-Earth"" PW ""revolvercoffee""",No,No,No,"Espresso, Drip, Cold brew",No,#FF69B4
gx,Nelson the Seagull,315 Carrall Street,Vancouver,BC,V6A 0A7,49.2821489,-123.1044756,Canada,madiba46664,Yes,No,Yes,Espresso,No,#FF69B4
mchambaud,Station W,3852 Wellington,Verdun,QC,H4G 4M6,45.4654329,-73.5667712,Canada,Free Wifi,Yes,No,Yes,,No,#B9FCFC
m_herrmann,"POC ""People on Caffeine""",Schlösselgasse 21,Vienna,Vienna,1090,48.214603,16.352994,Austria,ask for code,yes,yes,no,,no,#B9FCFF
parenteau,Tilt,1355 NW Everett St,Portland,OR,97209,45.525063,-122.684796,USA,,yes,no,yes,"Coffee, espresso, Beer",yes,#5d67af
abenroberts,Woodlawn Coffee & Pastry,808 NE DEKUM STREET,Portland,OR,97211,45.571739,-122.657096,USA,ask for code,yes,no,yes,Stumptown,yes,#5bb700
brittbinler,Gavin's,2531 Pine Street,Philadelphia,PA,19146,,,USA,ask for code,,No,No,La Colombe,"Yes, Summertime",#915C11
brittbinler,La Va Cafe,2100 South Street,Philadelphia,PA,19146,,,USA,ask for code,Yes,Yes,No,,no,#915C11
hughskennedy,Well Connected,35 Glebe Point Rd,Sydney,NSW,2037,-33.883662,151.192156,Australia,Ask when you order,Yes,Yes,Yes,Coffee/Tea/Milkshakes,Yes,
hughskennedy,Norfolk Hotel,"305 Cleveland Street, Redfern",Sydney,NSW,2016,-33.890701,151.209237,Australia,,No,Yes,Yes,Coffee/Beer,Yes,
brittbinler,One Shot Cafe,217 W. George Street,Philadelphia,PA,19123,,,USA,ask for code,Yes,Yes,Yes,Stumptown Coffee,No,#915C11
brittbinler,Shot Tower Cafe,542 Christian Street,Philadelphia,PA,19147,,,USA,ask for code,Yes,No,Yes,Counter Culture,Yes,#915C11
dotmariusz,Bococa,Plac Inwalidów 7,Kraków,PL,,50.069782,19.925943,PL,bococa2013,yes,yes,yes,,no,#1DADEB
